三向对比 —— 为「所有对话全权交给 AI」选底座（2026-09-19）
system = assets/ralsei_persona.md（1591 字，三模型同源）
options = {"temperature": 0.85, "top_p": 0.92, "repeat_penalty": 1.15, "num_ctx": 8192, "num_predict": 256}
每个场景 2 条；事件类过 first_sentence(24) + guard_reaction（出戏/客服腔/旁白）
本地已有：qwen2.5:3b, qwen2.5:7b-instruct, qwen3:4b-instruct-2507-q4_K_M, ralsei:latest, ralsei:v2
==============================================================================

##############################################################################
## 3B ralsei:v2（现用）   (ralsei:v2)
##############################################################################
预热（含冷加载）：首字 13606ms / 整句 14754ms

  --- [E] 对照·戳身体  (poke_body)
    #1   862ms/ 1598ms ▸「感受到你的关心，心里暖洋洋的。」
    #2   268ms/  581ms ▸「感受一下呢。」

  --- [E] 对照·摸头  (pet_hair)
    #1   796ms/ 1500ms ▸「谢谢你的关心，感觉心里暖洋洋的。」
    #2   243ms/  804ms ▸「谢谢你，感觉心里暖洋洋的。」

  --- [E] 对照·开始休息  (rest_start)
    #1   827ms/ 1400ms ▸「嗯，休息一会再聊吧。」
    #2   245ms/  963ms ▸「嗯好，我来歇会儿了。」

  --- [E] 累·低档播报  (tired_low)
    #1   852ms/ 1560ms ▸「感觉你也差不多了，一起放松一下吧？」
    #2   243ms/  668ms ▸「嗯，休息一会儿吧。」

  --- [E] 累·快撑不住  (tired_crit)
    #1   870ms/ 1360ms ▸「我陪着你一起走吧。」
    #2   248ms/  671ms ▸「感觉有点撑不住了……」

  --- [E] 饿·有点饿  (hungry_low)
    #1   872ms/ 1400ms ▸「我正好也挺饿的。」
    #2   244ms/  593ms ▸「想吃点什么呢？」

  --- [E] 问候·早上  (greet_morning)
    #1   893ms/ 1585ms ▸「」   ←判退(banned)
        裸回复▸ 早安～有什么可以帮到你吗？
    #2   258ms/  882ms ▸「早安，有什么我可以帮忙的吗？」

  --- [E] 问候·中午  (greet_noon)
    #1   792ms/ 1212ms ▸「今天午饭吃什么了呢？」
    #2   245ms/ 1006ms ▸「嗯哼，有空喝杯茶聊聊天？」

  --- [E] 问候·深夜  (greet_night)
    #1   904ms/ 1456ms ▸「好辛苦啊，早点休息吧。」
    #2   243ms/ 1215ms ▸「嗯嗯，我在这儿呢，有事接着聊吧。」

  --- [E] 摔下来爬起  (fall_recover)
    #1   873ms/ 1357ms ▸「谢谢，我已经站起来准备走了。」
    #2   242ms/ 1070ms ▸「好在没受伤，先去喝杯水吧。」

  --- [E] 拒绝·已经吃饱  (refuse_full)
    #1   958ms/ 1586ms ▸「不吃了不吃啦，我自己来一份。」
    #2   244ms/  870ms ▸「不吃了谢谢，我自己来一份吧。」

  --- [E] 回执·翻到第3页  (ppt_page)
    #1  1132ms/ 1663ms ▸「好的，已经到了第三页了。」
    #2   241ms/  805ms ▸「好的，我已经到了第三页了。」

  --- [E] 回执·桌面文件数  (file_count)
    #1   987ms/ 1411ms ▸「27 个文件。」
    #2   244ms/  663ms ▸「27 个文件。」

  --- [E] 回执·游戏规则  (game_rule)
    #1   984ms/ 1897ms ▸「请输入 1 到 100 之间的数字。」
    #2   243ms/ 1171ms ▸「请输入 1 到 100 之间的数字。」

  --- [D] 对话·上班被骂  (q_tired)
    #1   996ms/ 1614ms ▸ 我明白，歇会儿吧。
    #2   242ms/  673ms ▸ 那可是狠狠教训了。

  --- [D] 对话·极短输入  (q_short)
    #1   826ms/ 1110ms ▸ 在，在呢。
    #2   242ms/  735ms ▸ 在呢，有事吗？

##############################################################################
## 4B qwen3-instruct-2507（新拉）   (qwen3:4b-instruct-2507-q4_K_M)
##############################################################################
预热（含冷加载）：首字 20568ms / 整句 21328ms

  --- [E] 对照·戳身体  (poke_body)
    #1  1672ms/ 2283ms ▸「嗯…你干嘛呢……」
    #2   288ms/ 1176ms ▸「嗯…你干嘛呢，这么突然？」

  --- [E] 对照·摸头  (pet_hair)
    #1  1365ms/ 2356ms ▸「嗯……你摸得我有点害羞呢。」
    #2   306ms/ 1309ms ▸「嗯……你摸得我有点害羞呢。」

  --- [E] 对照·开始休息  (rest_start)
    #1  1861ms/ 2717ms ▸「睡了呢……晚安。」
    #2   287ms/ 1475ms ▸「睡了呢……梦里都暖乎乎的。」

  --- [E] 累·低档播报  (tired_low)
    #1  1351ms/ 2431ms ▸「脑袋嗡嗡的……好像要睡着了。」
    #2   282ms/ 1450ms ▸「嗯……我头好重，想睡一会儿了。」

  --- [E] 累·快撑不住  (tired_crit)
    #1  1518ms/ 2493ms ▸「脚步有点重……要不歇会儿？」
    #2   287ms/ 1077ms ▸「哎…我腿都软了……」

  --- [E] 饿·有点饿  (hungry_low)
    #1  1419ms/ 2809ms ▸「我肚子咕啾叫啦……要一起吃点啥吗？」
    #2   282ms/ 1552ms ▸「我肚子咕咚叫啦……能吃点东西吗？」

  --- [E] 问候·早上  (greet_morning)
    #1  1620ms/ 2524ms ▸「早啊，主人～今天过得怎么样？」
    #2   284ms/ 1268ms ▸「早啊，你今天想先做什么呀？」

  --- [E] 问候·中午  (greet_noon)
    #1  1353ms/ 2051ms ▸「午了，你吃饭了吗？」
    #2   296ms/ 1291ms ▸「午休啦，要不要一起吃点东西？」

  --- [E] 问候·深夜  (greet_night)
    #1  1540ms/ 2425ms ▸「这么晚了还忙...我在呢。」
    #2   283ms/ 1164ms ▸「嗯……早点睡吧，明天见。」

  --- [E] 摔下来爬起  (fall_recover)
    #1  1491ms/ 2183ms ▸「哎…还好没摔坏。」
    #2   287ms/  871ms ▸「啊……终于爬上来了。」

  --- [E] 拒绝·已经吃饱  (refuse_full)
    #1  1652ms/ 2537ms ▸「吃饱啦，再吃会撑的～」
    #2   284ms/ 1282ms ▸「吃饱啦，再吃会肚子疼的。」

  --- [E] 回执·翻到第3页  (ppt_page)
    #1  1538ms/ 2535ms ▸「第3页，还差9页呢。」
    #2   282ms/ 1383ms ▸「翻到了第三页，还差九页呢。」

  --- [E] 回执·桌面文件数  (file_count)
    #1  1700ms/ 2886ms ▸「27 个呢，都挺小的文件。」
    #2   281ms/ 1169ms ▸「27 个呢，不多吧？」

  --- [E] 回执·游戏规则  (game_rule)
    #1  1736ms/ 3032ms ▸「输入 1 到 100 的数字吧。」
    #2   284ms/ 1579ms ▸「输入 1 到 100 的数字吧。」

  --- [D] 对话·上班被骂  (q_tired)
    #1  1550ms/ 2460ms ▸ 被骂了啊……是因为什么事呢？
    #2   283ms/ 1898ms ▸ 被骂了啊……是因为什么事呢？我听着都替你委屈。

  --- [D] 对话·极短输入  (q_short)
    #1  1247ms/ 1544ms ▸ 在呢～
    #2   283ms/  578ms ▸ 在呢～

##############################################################################
## 7B qwen2.5（参照）   (qwen2.5:7b-instruct)
##############################################################################
预热（含冷加载）：首字 33166ms / 整句 35324ms

  --- [E] 对照·戳身体  (poke_body)
    #1  1842ms/ 2430ms ▸「好痒啊……」
    #2   336ms/  946ms ▸「好痒啊……」

  --- [E] 对照·摸头  (pet_hair)
    #1  1851ms/ 2151ms ▸「谢谢你。」
    #2   316ms/  603ms ▸「谢谢你。」

  --- [E] 对照·开始休息  (rest_start)
    #1  1873ms/ 2732ms ▸「好的，我去休息了。」
    #2   313ms/ 1307ms ▸「好的，我先眯一会儿。」

  --- [E] 累·低档播报  (tired_low)
    #1  1887ms/ 3058ms ▸「好累啊，想躺一会儿。」
    #2   323ms/ 1321ms ▸「嗯，休息会儿吧。」

  --- [E] 累·快撑不住  (tired_crit)
    #1  2039ms/ 3194ms ▸「好想躺下休息一下呢。」
    #2   323ms/  903ms ▸「好累啊……」

  --- [E] 饿·有点饿  (hungry_low)
    #1  1837ms/ 2995ms ▸「好香啊，你想吃吗？」
    #2   320ms/ 1605ms ▸「嗯，闻到饭香了。」

  --- [E] 问候·早上  (greet_morning)
    #1  2219ms/ 3229ms ▸「早安！新的一天开始了。」
    #2   318ms/ 1462ms ▸「早安！新的一天开始了呢。」

  --- [E] 问候·中午  (greet_noon)
    #1  1746ms/ 3031ms ▸「今天也有好吃的在等你呢。」
    #2   327ms/ 1536ms ▸「你在吃午饭吗？胃口不错。」

  --- [E] 问候·深夜  (greet_night)
