[2025-12-28 12:18:30] 启动Ralsei Pet 监测程序
[2025-12-28 12:18:30] 监测时长: 600秒
[2025-12-28 12:18:30] 启动主程序...
[2025-12-28 12:18:33] 找到主程序进程，PID: 3860
[2025-12-28 12:18:33] 开始监测主程序运行状态...
[2025-12-28 12:18:33] 监测时长: 600秒
[2025-12-28 12:18:43] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:18:54] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:19:06] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:19:17] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:19:28] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:19:40] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:19:51] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:20:02] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:20:14] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:20:25] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:20:36] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:20:48] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:20:59] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:21:10] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:21:22] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:21:33] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:21:44] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:21:55] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:22:07] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:22:18] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:22:29] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:22:41] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:22:52] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:23:03] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:23:14] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:23:26] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:23:37] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:23:48] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:24:00] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:24:11] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:24:22] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:24:34] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:24:45] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:24:56] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:25:07] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:25:19] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:25:30] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:25:41] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:25:53] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:26:04] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:26:15] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:26:27] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:26:38] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:26:49] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:27:01] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:27:12] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:27:23] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:27:35] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:27:46] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:27:57] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:28:08] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:28:20] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:28:31] CPU使用率: 0.0%, 内存使用: 0.0MB
[2025-12-28 12:28:33] 监测完成，主程序仍在运行
[2025-12-28 12:28:33] 监测报告已生成: monitor_report.txt
[2025-12-28 12:28:33] 主程序仍在运行，正在终止...
[2025-12-28 12:28:33] 主程序已成功终止
[2025-12-28 12:28:33] 监测程序完成，报告文件: monitor_report.txt
